exa,博主头像,博主id,博主,博主主页,博文,博文独立网址,发布时间,发布终端,转发数,评论数,点赞数,<fullpath>,<createdate>,,,,,count,forward,comment,likes
聂树斌,http://tva4.sinaimg.cn/crop.0.0.180.180.50/7040b51djw1e8qgp5bmzyj2050050aa8.jpg,1883288861,张周斌律师,http://weibo.com/u/1883288861?refer_flag=1001030103_,最高院官微发文批评聂树斌案舆论审判，南京法院因当事人上诉状中写一审判决厚颜无耻被拘留并罚款8万，东莞法院执行中被镇政府在党报上两次发文谴责而默不作声，这就是当下的中国法治！,http://weibo.com/1883288861/D9a7Tyjuy?refer_flag=1001030103_,2015-12-19 18:58,华为Ascend P7,3,0,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&Refer=g,2016-12-7 12:43:21,1,3,0,2,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.7.498.498.50/63909ae7jw8f4nz90k21yj20du0e8mxi.jpg,1670421223,王志安,http://weibo.com/cctvwzn?refer_flag=1001030103_,留个痕迹：我认为现有证据聂树斌案不可能翻案，质疑派的证据和警方搜集的聂树斌的犯罪证据相比弱太多了，不信等审查结果出来看。,http://weibo.com/1670421223/D99JjFUr0?refer_flag=1001030103_,2015-12-19 17:57,iPhone 6 Plus,178,140,70,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&Refer=g,2016-12-7 12:43:21,1,178,140,70,,,,
聂树斌,http://tva4.sinaimg.cn/crop.58.18.120.120.50/5e9ae75dgw1ektm3ihqtej205k046dg0.jpg,1587210077,贵州律师段明祥,http://weibo.com/dmxls?refer_flag=1001030103_,最高法罕见评聂树斌案:要舆论监督不要舆论审判。——认定舆论监督和舆论审判的法定条件、标准是什么？在一些重大刑事案件的侦查阶段，连辩护律师会见权都难以实现的情况下，央视记者却能顺利会见犯罪嫌疑人，并将涉案情节公之于众。那么，此类怪象应当被认定为什么呢？ |最高法:聂...,http://weibo.com/1587210077/D98m6hR05?refer_flag=1001030103_,2015-12-19 14:27,新浪新闻中心,1,0,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&Refer=g,2016-12-7 12:43:21,1,1,0,0,,,,
聂树斌,http://tva3.sinaimg.cn/crop.0.0.480.480.50/0069RWjTjw8exhn317zxvj30dc0dc3yy.jpg,5642639585,jxj梦的荒原,http://weibo.com/u/5642639585?refer_flag=1001030103_,聂树斌案，媒体舆论高度关注，本来正常不过，是法制民主的体现，现竟被别有用心的人指责为“舆论审判”，难道执法机关不作为或不积极作为，就不许百姓发声吗？难道法院就可以为所欲为，置法律于不顾吗？,http://weibo.com/5642639585/D982Jsbgc?refer_flag=1001030103_,2015-12-19 13:40,小米手机,1,1,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&Refer=g,2016-12-7 12:43:21,1,1,1,0,,,,
聂树斌,http://tva3.sinaimg.cn/crop.162.3.1228.1228.50/4e3308afjw1exsglv8hk1j21kw11x7nr.jpg,1311967407,作家岳南,http://weibo.com/yuenanblog?refer_flag=1001030103_,【最高法罕见谈聂树斌案:要舆论监督 勿舆论审判】 最高法是在抽 央视 审判者 的脸。 |最高法:聂...,http://weibo.com/1311967407/D97sTAjI7?refer_flag=1001030103_,2015-12-19 12:11,新浪新闻评论,4,1,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&Refer=g,2016-12-7 12:43:21,1,4,1,2,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.180.180.50/4972ec39jw1e8qgp5bmzyj2050050aa8.jpg,1232268345,小说家夏汉志,http://weibo.com/573377518?refer_flag=1001030103_,"最高法谈聂树斌案：要舆论监督 勿舆论审判----这文说的不错!舆论和大众都不知案件里的详情,仅仅是凭几篇记者报道就说其是冤枉,这是对那死者的不正义...道理很简单,最后靠证据说话!!文里批评澎湃新闻,是有道理的!. |最高法谈聂...",http://weibo.com/1232268345/D972KfkNW?refer_flag=1001030103_,2015-12-19 11:07,微博 weibo.com,1,0,4,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&Refer=g,2016-12-7 12:43:21,1,1,0,4,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.996.996.50/6be744b3jw8f1y1wa8h3ij20ro0romzn.jpg,1810318515,同盟会社长,http://weibo.com/mikex?refer_flag=1001030103_,//分享网易跟贴:最高法:聂树斌案不要舆论审判 沒有輿論你們就可以為所欲為了，中國最大的問題還是老百姓手裡沒有槍，有槍再亂也沒瞎管理瞎腐敗爛。 http://t.cn/R4y36Bo,http://weibo.com/1810318515/D96Xpl1rf?refer_flag=1001030103_,2015-12-19 10:54,网易新闻客户端,0,0,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,0,0,1,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.360.360.50/61e04755jw8ev8618io3bj20a00a00t9.jpg,1642088277,财经网,http://weibo.com/caijing?refer_flag=1001030103_,【最高法谈聂树斌案：要舆论监督 勿舆论审判】“山东高院第三次延长了聂树斌案复查期限，符合规定。可一些‘拿正义说事’的评论，预设了该案是冤案的前提，要求法院早日宣判聂树斌无罪，这是典型的舆论审判。舆论监督可以继续追问真相，但不应该对案件结果作出先入为主的判断。”|最高法罕见...,http://weibo.com/1642088277/D96JNFAwD?refer_flag=1001030103_,2015-12-19 10:20,微博 weibo.com,108,125,122,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,108,125,122,,,,
聂树斌,http://tva3.sinaimg.cn/crop.0.0.1125.1125.50/006k7Zcdjw8ez0e7xpih1j30v90v9tap.jpg,5794227249,游飞翥回来,http://weibo.com/u/5794227249?refer_flag=1001030103_,再审聂树斌案！@最高人民法院，你不是最高吗，比中央还高？也禁“妄”议？施展妄判神功，你审判舆论呀！你这最高舆论审判法院央视的小跟班！谈谈舆监与舆审的界限？我与庆*安公安局恩怨纠葛，起诉到所有层级的法院，包括你最高法，没有一家立案、回复，就这样医法治国？,http://weibo.com/5794227249/D96yfpTtk?refer_flag=1001030103_,2015-12-19 9:52,iPhone 6 Plus,63,12,11,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,63,12,11,,,,
聂树斌,http://tva1.sinaimg.cn/crop.6.114.433.433.50/65c38c30jw8eppcivjxd9j20c80lp0ua.jpg,1707314224,郑在索律师,http://weibo.com/bjdlvshi?refer_flag=1001030103_,警惕！警惕！高度警惕！—莫非这个说法，是要为“维持聂树斌案”打前站？！聂案如果被维持，那石人都会流泪，六月就会飞雪！山东高院的所谓“听证”“复查”，最最错误的是“竟然有原审法院河北高院隐名参加”，更不消说证据缺失等问题。法治中国肇始，最高法院，人民相信您！。#聂树斌#,http://weibo.com/1707314224/D96hUrNXF?refer_flag=1001030103_,2015-12-19 9:12,微博 weibo.com,279,46,21,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,279,46,21,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.1242.1242.50/af6a59c0jw8eyyx6cpltvj20yi0yimz2.jpg,2942982592,钟山清风,http://weibo.com/u/2942982592?refer_flag=1001030103_,"#今日看点#1、李克强：增进青年交流 让中俄友谊薪火相传；2、延迟退休政策调研：地方政府鼓励提前退休；3、最高法评聂树斌案：要舆论监督而非审判；4、环保部：多地未来5天空气持续重污染；5、南京市民""信用记录""将可随时查询 失信或被记录5年；6、南京11月房价环比再涨1.4% 涨幅仅次深沪超越北广。",http://weibo.com/2942982592/D969qafsE?refer_flag=1001030103_,2015-12-19 8:51,WeicoPro,35,36,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,35,36,2,,,,
聂树斌,http://tva3.sinaimg.cn/crop.0.0.996.996.50/77c07435jw8f85rnzpjpmj20ro0rogo2.jpg,2009101365,牛兴全,http://weibo.com/u/2009101365?refer_flag=1001030103_,#法律小茶吧# 《聂树斌案：要舆论监督，不要舆论审判》牵动各方神经的聂树斌复查案再次延期。2015年12月14日，山东省高级人民法院报请最高人民法院批准，将复查期限再次延长3个月，直到2016年3月15日。这是最高法院指定山东高院复查聂案以来，第三次延长复查期限，此前已两次延期，延长了6个月。,http://weibo.com/2009101365/D95mvzJwE?refer_flag=1001030103_,2015-12-19 6:50,华为Ascend Mate7,3,1,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,3,1,1,,,,
聂树斌,http://tva3.sinaimg.cn/default/images/default_avatar_male_50.gif,3166040430,还我清白公正,http://weibo.com/u/3166040430?refer_flag=1001030103_,好人进去了，罪名出来了，聂树斌就是例子，呼格吉勒图的冤案承办人至今没有受到制裁，国家为什么包庇呢？都是些什么人掌权呢？//【嫌犯审讯中异常死亡 警方出动大量警察带走尸体】 |嫌犯审讯中...,http://weibo.com/3166040430/D94r7gCbn?refer_flag=1001030103_,2015-12-19 4:29,手机新浪网,1,2,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,1,2,1,,,,
聂树斌,http://tva2.sinaimg.cn/crop.20.23.135.135.50/60718250jw8ev8xr8xk42j2050050aa0.jpg,1618051664,头条新闻,http://weibo.com/breakingnews?refer_flag=1001030103_,#热点#【最高法罕见谈聂树斌案：要舆论监督 勿舆论审判】14日，山东高院第三次延长聂树斌案复查期限。最高法称，一些“拿正义说事”的评论，预设了聂案是冤案的前提，要求早日宣判聂树斌无罪，这是典型的舆论审判。舆论监督可以追问真相，但不应该对案件结果作出先入为主的判断。|最高法:聂...,http://weibo.com/1618051664/D92eFyHJL?refer_flag=1001030103_,2015-12-18 22:53,微博 weibo.com,598,449,738,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,598,449,738,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.0.180.180.50/6d39a176jw1e8qgp5bmzyj2050050aa8.jpg,1832493430,李海平L,http://weibo.com/223122234?refer_flag=1001030103_,【最高法罕见谈聂树斌案:要舆论监督 勿舆论审判】 很奇怪的文章，你法院做你该做的事情，如果法院都这么敏感，只能说明不成熟，不专业。 |最高法:聂...,http://weibo.com/1832493430/D928ZDDqf?refer_flag=1001030103_,2015-12-18 22:39,新浪新闻评论,2,1,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,2,1,0,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.180.180.50/657e68d0jw1e8qgp5bmzyj2050050aa8.jpg,1702783184,大案,http://weibo.com/bigcases?refer_flag=1001030103_,【聂树斌案：正义不可再迟到 】在河北青年聂树斌被执行死刑近二十年之后，聂树斌案迎来了异地复查之机。这是重案，牵涉广泛，加上年深岁久，时过境迁，诸多痕迹、物证湮灭无迹等因素，致复查工作难度巨大，进程缓慢，以至一再延期|澎湃社论 |... 免费法律咨询@大案 微信：mycase,http://weibo.com/1702783184/D8RUyDwv1?refer_flag=1001030103_,2015-12-17 20:36,微博 weibo.com,9,1,15,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,9,1,15,,,,
聂树斌,http://tva1.sinaimg.cn/crop.66.137.733.733.50/005TuMDYjw8et5w45uuaij30m80tg438.jpg,5400699470,nv司令,http://weibo.com/u/5400699470?refer_flag=1001030103_,等的我一介草民都觉得没有希望了………非得拖到聂妈妈含恨而终………那些不作为官员才会罢休………//【希望聂树斌案像薄、刘减刑案一样提高效率】 |新浪网为全...,http://weibo.com/5400699470/D8FhyfTxW?refer_flag=1001030103_,2015-12-16 12:26,手机新浪网,0,0,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,0,0,1,,,,
聂树斌,http://tva1.sinaimg.cn/crop.0.0.1342.1342.50/95d2cdddjw8f4bh183hhwj211a11a794.jpg,2513620445,吴英代理人蔺文财,http://weibo.com/u/2513620445?refer_flag=1001030103_,在河北青年聂树斌被执行死刑近二十年之后，聂树斌案迎来了异地复查之机。这是重案，牵涉广泛，加上年深岁久，时过境迁，诸多痕迹、物证湮灭无迹.。不能说官官相护，但腐败分子还是互相关照的。 http://t.cn/R42LU9G,http://weibo.com/2513620445/D8zAzfbgj?refer_flag=1001030103_,2015-12-15 21:57,手机QQ浏览器,0,0,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,0,0,1,,,,
聂树斌,http://tva3.sinaimg.cn/crop.0.0.180.180.50/6287a99fjw1e8qgp5bmzyj2050050aa8.jpg,1653057951,JackSissi,http://weibo.com/sissyw?refer_flag=1001030103_,这条微博有什么问题吗？为什么被删？。 从聂树斌到谷开来再到林森浩，已经充分证明死刑是普通老百姓的专利，达官贵人无论杀人投毒，死缓已是极限了。在现行司法不公平公正的情况下，废除死刑反而是最公平的,http://weibo.com/1653057951/D8wJ1furg?refer_flag=1001030103_,2015-12-15 14:39,iPhone 6,0,0,1,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,0,0,1,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.512.512.50/9e5389bbjw8eylgqjhrzsj20e80e8jrw.jpg,2656274875,央视新闻,http://weibo.com/cctvxinwen?refer_flag=1001030103_,【早啊！新闻来了〔2015.12.15〕】①政治局会议定调明年经济工作，再提化解房地产库存 ②工信部:三年后省会主要城市宽带网速达30M ③薄谷开来、刘志军减刑案公示：死缓改无期 ④聂树斌案因“案情重大复杂”复查第三次延期 ⑤春运返程票迎抢票高峰。更多↓↓ |早啊！新闻...,http://weibo.com/2656274875/D8uaLqBaK?refer_flag=1001030103_,2015-12-15 8:10,微博 weibo.com,295,3,375,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,295,3,375,,,,
聂树斌,http://tva4.sinaimg.cn/crop.0.0.750.750.50/5387d892jw8f4g348c8ycj20ku0kuq3h.jpg,1401411730,每日读报的老郭,http://weibo.com/u/1401411730?refer_flag=1001030103_,【每日读报】连聂树斌的案子都报了，但刘志军、薄谷开来死缓减无期的新闻北京日报却没报，讲政治？,http://weibo.com/1401411730/D8tAwdcie?refer_flag=1001030103_,2015-12-15 6:40,iPad客户端,0,1,2,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,0,1,2,,,,
聂树斌,http://tva3.sinaimg.cn/crop.750.307.557.557.50/575769adjw8f2m23dzbhkj21kw16oe81.jpg,1465346477,假行僧老巩,http://weibo.com/234541319?refer_flag=1001030103_,"2015年6月和9月，聂树斌案复查期限分别延期三个月。 2015年12月，山东省高级人民法院经报请最高人民法院批准，决定再次延长聂树斌案复查期限三个月，至2016年3月15日。315,315,315………",http://weibo.com/1465346477/D8pvloJjG?refer_flag=1001030103_,2015-12-14 20:17,,9,8,7,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=2,2016-12-7 12:43:40,1,9,8,7,,,,
聂树斌,http://tva3.sinaimg.cn/crop.0.0.180.180.50/56ae1025jw1e8qgp5bmzyj2050050aa8.jpg,1454247973,直言相见,http://weibo.com/jdh118?refer_flag=1001030103_,无耻！——聂树斌案延期至2016年3月 已先后延期2次共半年 @新浪新闻 |聂树斌案再...,http://weibo.com/1454247973/D8pamFwwM?refer_flag=1001030103_,2015-12-14 19:25,新浪新闻中心,2,0,0,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=3,2016-12-7 12:43:58,1,2,0,0,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.1242.1242.50/66eeadffjw8f19fx07d7mj20yi0yidhc.jpg,1726918143,中国青年报,http://weibo.com/chinayouthdaily?refer_flag=1001030103_,【聂树斌案复查期限第三次被延期】山东高院复查聂树斌一案，因案件重大复杂，涉及面广，经报请最高人民法院批准，决定再次延长复查期限三个月（至2016年3月15日止）。自2014年12月12日，最高人民法院指令山东省高院对聂树斌案进行复查以来，这已是该案复查期限第三次被延期。|聂树斌案复...,http://weibo.com/1726918143/D8o1S2zhe?refer_flag=1001030103_,2015-12-14 16:31,微博 weibo.com,13,4,10,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=3,2016-12-7 12:43:58,1,13,4,10,,,,
聂树斌,http://tva2.sinaimg.cn/crop.0.0.512.512.50/9e5389bbjw8eylgqjhrzsj20e80e8jrw.jpg,2656274875,央视新闻,http://weibo.com/cctvxinwen?refer_flag=1001030103_,【最高法批准聂树斌案再次延长复查期限三个月】山东省高级人民法院消息，复查聂树斌故意杀人、强奸妇女一案，因案件重大、复杂，复查涉及面广，参照《最高人民法院关于适用&lt;中华人民共和国刑事诉讼法&gt;的解释》第一百七十三条，经报请最高人民法院批准，决定再次延长复查期限三个月。(央视记者李文杰),http://weibo.com/2656274875/D8nzTaALy?refer_flag=1001030103_,2015-12-14 15:22,微博 weibo.com,195,147,286,http://s.weibo.com/weibo/%25E8%2581%2582%25E6%25A0%2591%25E6%2596%258C&typeall=1&suball=1&timescope=custom:2015-01-01:2015-12-31-23&page=3,2016-12-7 12:43:58,1,195,147,286,,,,
